fdc_id,description,calories,carbs_g,fat_g,fiber_g,protein_g,sodium_mg,cat_Baked Products,cat_Beef Products,cat_Cereal Grains and Pasta,cat_Dairy and Egg Products,cat_Fats and Oils,cat_Finfish and Shellfish Products,cat_Fruits and Fruit Juices,"cat_Lamb, Veal, and Game Products",cat_Legumes and Legume Products,cat_Nut and Seed Products,cat_Pork Products,cat_Poultry Products,cat_Restaurant Foods,cat_Sausages and Luncheon Meats,"cat_Soups, Sauces, and Gravies",cat_Spices and Herbs,cat_Sweets,cat_Vegetables and Vegetable Products
2685576,"Beets, raw",42.7928775,8.787,0.3025,3.119,1.6875,111.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685577,"Eggplant, raw",24.221682625,5.399325,0.12,2.448,0.851875,0.4425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685578,"Tomatoes, whole, canned, solids and liquids, with salt added",20.8128745,4.2874,0.2063,0.8725,0.8675,111.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685579,"Tomato, sauce, canned, with salt added",31.640250625,6.331625,0.3825,1.636,1.351875,416.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685580,"Tomato, paste, canned, without salt added",96.40850312500001,20.188125,0.7325,4.704,4.234375,61.15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685581,"Tomatoes, crushed, canned",35.0945825,7.137,0.3975,1.944,1.4375,139.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2685582,"Tomato, puree, canned",37.802659375000005,8.036875,0.265,1.971,1.578125,29.36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2710815,"Apricot, with skin, raw",45.962075,10.23875,0.405,1.51,0.96125,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2710816,"Melons, honeydew, raw",34.8033755,8.14995,0.2163,0.0,0.53125,21.15,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2710817,"Plantains, ripe, raw",129.6314805,30.95215,0.8933,2.125,1.15625,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
